id,latin_word,czech_translation
4875,terminus a quo,"dřívější termín v nějakém rozsahu (např. pokud se něco rozhodně stalo mezi 1220 a 1227, tak je t. a quo 1220 ; v jedné renomované knize to je špatně, proto zapisuji ; takto jasně Dondaine, Durand, 243)"
4876,terra Francigena f.,"síran měďnatý (sic LMALB, zde citace textu, ověřeno ; název podle místa těžby)"
4877,terrae commendare alqm,pohřbít koho
4878,terrenus,"zemitý, ze země"
4879,terror,strach
4880,terror,"strach, zděšení, hrůza, bázeň"
4881,testamentum,závěť
4882,teste,"jak dosvědčuje (abl. abs., např. teste Apostolo anonpojed 103:12)"
4883,teste Apostolo,jak dosvědčuje Apoštol
4884,testificor,"dosvědčit, dokázat, potvrdit, svědčit, dokazovat, brát za svědka"
4885,testimonium,"svědectví, svědčení"
4886,testimonium,"svědectví, svědčení, důkaz"
4887,testis,svědek
4888,testor,tkadlec (správně textor)
4889,textor,tkadlec
4890,textus,"text ; Písmo (bible) (tak Biller in Heresy and Literacy, 68)"
4891,Tholosa,Toulouse
4892,Tigern?um?,Thiers
4893,tignum,"břevno, kláda, trám"
4894,timens Deum,bohabojný
4895,timeo,"bát se, obávat se čeho (de + abl. - sic ; též tranzitivně + ak.), strachovat se ; mít strach, obavu z čeho, o co (s dativem nebo předl. de + abl.), starost ; být starostlivý ; bát se, ostýchat se, rozpakovat se, váhat, neodvažovat se, nechtít (s inf.) ; s"
4896,timidus,bojácný
4897,tinctio,"omočení, ponoření, pohroužení [Pražák et al. neuvádí, ale jinde nal.]"
4898,tolero,"snášet, trpět, zakoušet"
4899,tollo,"vzít pro sebe, sebrat, odebrat"
4900,tollo,odnít
4901,tollo,"odstraňovat, vymýtit, sprovodit ze světa"
4902,tollo,"rušit, kazit, ničit"
4903,Tolosa,Toulouse (město v narbonské Galii nad řekou Garumnou)
4904,Tolosanus,toulouský
4905,Tolosensis,toulouský
4906,tonitrua,hřmění	DZ
4907,tonitruum,hrom
4908,tormentum,mučidlo
4909,tormentum,"samostřel, metací stroj"
4910,tortus,"zkroucený, zkřivený, ohnutý ; zvířený, zbrázděný ; zmučený ; ztrápený, soužený, trýzněný"
4911,tot,tolik ; tolikerý	indekl.
4912,totidem,"právě tolik, zrovna tolik"
4913,totus mundus,celý svět ; (přen.) všichni
4914,totus,celý
4915,totus,celý ; celý (zesiluje přídavné jméno)
4916,toxicum,jed
4917,trabs,"kláda, břevno"
4918,Trabunia,Travunja (v Bosně)
4919,tracto,"tahat, vláčet, smýkat ; ohmatávat, hmatat, dotýkat se, brát do rukou ; držet co, mít v rukou co, zacházet s čím, vládnout čím ; strojit, připravovat ; řídit, spravovat ; vést ; zacházet, nakládat s kým, chovat se ke komu"
4920,tracto,"zpracovat ; vykládat, vypisovat, líčit ; zabývat se čím, pracovat na čem, provozovat, dělat, pěstovat, strojit, chystat, užívat ; jednat o čem, projednávat, vyjednávat ; pojednávat o čem, probírat, vykládat ; myslet, přemýšlet o čem"
4921,traditorie,"zrádně, proradně"
4922,tradux,úpon (révový) ; převod	Pražák
4923,tradux,"přenos dědičností (zejm. o dědičném hříchu) ; rod, původ (ex traduce Judaeorum apod.)	MLLM"
4924,tragula,"tragula, házecí oštěp"
4925,Traguriensis,trogirský (město v Dalmácii)
4926,Traguriensis,trogirský (související s městem Trogir v Dalmácii)
4927,Tragurium n.,Trogir (dalmatské město)
4928,Tragurium,Trogir (město v Dalmácii)
4929,traiectus,převoz
4930,tramblus,osika
4931,trano,"přeplavat, pronikat"
4932,transeo,"přecházet, přejít, překročit, přestupovat ; přeběhnout, přejít k nepřátelům ; vpadnout, vtrhnout (do nějaké země) ; přecházet, přistupovat, přikročit ; přejít, měnit se ; pronikat, procházet ; míjet, pominout ; předejít"
4933,transeo,"překročit, přeplavit se, přebrodit se ; přestát, překonat ; procházet ; míjet (něco), přecházet, procházet, jít, táhnout přes co ; přejít (mlčením), pominout"
4934,transfigo,"probodnout, proklát"
4935,transglutire,"(Pražák ani MLLM nic ; v Capelli zřejmě ve smyslu ""chytit na lep"")"
4936,transglutire,(Pražák nic)
4937,transgressio,"přecházení, přechod ; hyperbaton, přestavení slov"
4938,transgressio,"přecházení, přechod ; přestupek, přestoupení, prohřešek, hřích ; hyperbaton, přestavení slov	Pražák a MLLM"
4939,transgressor,(Pražák nic)
4940,transgressor,"porušitel (zákona), přestupitel, zločinec	MLLM, česky DZ ; Pražák nic"
4941,transgressoris,"(MLLM nic, zřejmě takto neexistuje)	adj."
4942,transmitto,"překládat, přendávat, přesazovat ; přepravovat, převážet, přenášet, převádět, přeplavovat ; odevzdávat, dávat, předávat, podávat, přenechávat, svěřovat ; pouštět, vpouštět ; přejít, nevšimnout si, minout ; projít, přestát ; prožít, strávit"
4943,transmitto,přenášet
4944,transporto,"převést, přemístit"
4945,trapasso,(Pražák nic)
4946,trebernaculum,"bouda, stan, barák, stánek"
4947,tremblius,osika
4948,tremulus,osika
4949,trepido,"třást se, být zmaten, bát se"
4950,tribuo,"vyhovět, učinit pro"
4951,triduum,tři dny
4952,triennium,tři roky
4953,trini,"trojí, tři"
4954,trinitas et unitas,trojjedinost	teol. ; DZ
4955,tripe(a)rtitus,rozdělený ve tři části
4956,tristitia,sklíčenost
4957,tristor,"(de alqa re) být smutný z čeho	DZ ex Fournier I, 312"
4958,triticum,pšenice
4959,Triuisinus,"treviský	geogr. ; RS 59, krit. aparát"
4960,Triuizinus,"treviský	geogr. ; RS 59, krit. aparát"
4961,truncus,kmen
4962,tueor,"uhájit, ubránit"
4963,tum,"tehdy, tenkrát, tu ; pak, potom, tehdy"
4964,tum,"tehdy, teprve, tenkrát"
4965,tumor,"nadutost, pýcha"
4966,tumultus,"nepokoj, povstání"
4967,tumultus,"vzruch, poplach, shon"
4968,tumulus,"pahorek, kopec"
4969,tumulus,hluk
4970,tunc,(MLLM nic)
4971,tunc,"pak, poté, nato (někdy v češtině vhodnější spojky pro zřetězení po sobě následujících událostí ; ""tehdy poklekne. Potom vstane a"" atd. ; např. TDH 314:32)	DZ"
4972,tunc,"tehdy, tenkrát, tu, pak	Pražák nic víc"
4973,turba,"zástup, nával, lidé, dav, hlouček, tlupa, smečka, hejno ; množství, hromada, kupa ; lid, národ ; hřmot, ruch, vřava, povyk ; zmatek, nepořádek"
4974,turbo nivis,"sněhová bouře, sněhová vánice	Fournier I, 320"
4975,turma,četa
4976,turma,"shluk, zástup"
4977,turonensis,"tourský	Sigal, M., 119"
4978,turpis,"potupný, hanebný"
4979,turpis,"šeredný, ošklivý, ohyzdný, škaredý, nehezký, ohavný ; znečištěný, špinavý, nečistý ; hanebný, ohavný, potupný, hnusný, sprostý, mrzký, nečestný ; sprostý (rodem a postavením) ; nemravný, neřestný, necudný"
4980,turpitudo,"ošklivost, škaredost, šerednost, ohyzdnost ; hanebnost, ohavnost, sprostota, mrzkost ; nemravnost ; potupa, hanba ; hanba (euf. pro pohlavní orgány)"
4981,Tuscia,Toskánsko
4982,Tussia,Toskánsko ; běžněji v lat. Tuscia
4983,tutus,bezpečný
4984,ubi,jakmile
4985,ubi,"kde (místně) ; kdy, když ; jakmile ; kdykoli (vztaž.) ; s konj. druhdy, někdy, v některých případech"
4986,ubi,"když, jakmile"
4987,ubi primum,"když, jakmile"
4988,ulciscor,"mstít se, potrestat"
4989,ulciscor,mstít se
4990,ullus,někdo
4991,ulterior,"vzdálenější, zadní"
4992,ulterius,dále (o míře a způsobu)	adv. ; Pražák jen toto
4993,ulterius,"napříště, dále?	DZ ex Dondaine, Traité, 73 dole"
4994,ulterius,"později ; nadále, dále (v záporné větě, např. neodvažuj se dále vzpírat ; DZ též v tomto smyslu ""napříště"" ; Cod. Iust., De haereticis..., I.V.2)	adv. ; spolehlivě podle MLLM"
4995,ulterius iusto,"dále, než je slušné"
4996,ultimo,"za poslední, konečně (DZ ; Pražák ani MLLM nic)"
4997,ultimo,"za poslední, konečně (Pražák nic ; viz RS 59:9)"
4998,ultra,"1. (adv.) tam, onde, na oné straně, na druhé straně ; dále ; (přen. o čase, způsobu, míře) dále ; déle ; nadto, navíc ; v budoucnu, příště, napříště ; 2. (předl. s ak.) za, na oné straně, na druhé straně, na druhou stranu ; dále, za, nad, přes"
4999,ultra,za
5000,ultro,"nad to, dokonce, k tomu"
5001,ultro,"nadto, dokonce, k tomu"
5002,ultro,"neočekávaně, sám, dobrovolně, od sebe"
5003,ultro citroque,sem i tam
5004,umbra,"stín ; přítmí, ústraní ; tmavost, temnost, tma, noc ; stín, odstín ; stín, duch, přízrak, mátoha, přelud, vidění ; záminka ; nohsled, ocásek (zejm. o nepozvaném hostu, kterého přivádí host pozvaný)"
5005,umeo,být vlhký
5006,una,společně
5007,una,zároveň
5008,unde,odkud
5009,unde,"odkud ; tedy, tudíž, pročež, z čeho, čím, od koho"
5010,unde,"proto (vztahuje se zejm. k předchozí větě, kde byl důvod vyložen)	DZ"
5011,undeunde,odkudkoliv
5012,undique,"odevšad, ze všech stran"
5013,universus,"všechen, celý"
5014,uno tempore,"v témž čase, zároveň"
5015,uno tempore,"zároveň, zaráz"
5016,unus solus,jeden jediný	DZ ex TDH
5017,unus,"jedinečný, vynikající"
5018,unusquisque,"každičký, každý"
5019,urbevetanus,orvietský (související s italským městem Orvieto)	geogr.
5020,urina,moč
5021,urus,zubr
5022,usque,až
5023,usque ad,"do (ne nutně ""až do"", srv. TDH 315:29 aj.)"
5024,usque ad effusionem sanguinis,"do krve (zmlátit apod.)	Orvieto, Liber inquisitionis, 1268, fol. 18r"
5025,usual?,obročí (LMALB tvar usualis ; asi to je adj. od usus)
5026,usura,"(MLLM nic, jen složeniny)"
5027,usura,úrok
5028,usura,"úrok, úroky ; půjčka, výpůjčka ; užívání půjčených peněz ; užívání, požívání, požitek, braní požitku"
5029,usus,zkušenost
5030,usus,"zkušenost, užívání, přístup"
5031,usus,"zkušenost, užívání, přístup, umění, výcvik"
5032,usus,"způsob, zkušenost, užívání, přístup, umění, výcvik"
5033,ut,"aby ; jak (způsobově) ; jak (zvolací) ; jako, jakožto, jakož, jak (přirovnávací co do způsobu, kdežto tam ... quam co do stupně) ; jak, jakmile (s ind., časově) ; kéž (s konj. ve větách přacích, klas. utinam) ; kde (bás. o místě)"
5034,ut,jak
5035,ut,"jak, jako ; aby ; čím (např. čím více, tím lépe),"
5036,ut,jelikož
5037,ut,takže
5038,ut,"že, aby (věty účinkové a určovací) ; ať, třeba, i kdyby, byť i (přípustkové věty) ; že by, aby (v otázkách značících podiv nebo nevoli)"
5039,ut - sic,jak -tak
5040,ut ... ita,čím ... tím
5041,ut secundum naturam fluminis procumberent,aby byly nakloněny po proudu řeky
5042,uter,který
5043,uterque,"oba, jeden i druhý"
5044,uterus,"děloha, život (mateřský), lůno, břicho ; břišní dutina, břicho ; plod ; děti, potomstvo ; břicho (např. lodi)"
5045,utilitas,"užitek, prospěch, výhoda, dobro, zdar ; užitečnost, prospěšnost, výhodnost ; upotřebitelnost, vhodnost, schopnost, platnost ; potřebnost"
5046,utilitates praebere (alci),prokázat platné služby komu
5047,utique,jistěže	DZ ex anonpojed 106:18
5048,utique,"naprosto, dokonce ; jistě ; jakkoli, buď jak buď, jakýmkoli způsobem ; a jak, a aby, že"
5049,utique,"samozřejmě, očividně, jistěže, bezpochyby ; totiž, to jest	MLLM"
5050,utor,"užívat, používat, upotřebit, zacházet s čím, zabývat se čím ; požívat, jíst, živit se čím, žrát ; užívat, využívat, těžit z čeho ; řídit se čím, zachovávat, dbát	utor re"
5051,utor,"vykonávat, provádět, projevovat, osvědčovat, dokazovat, zachovávat, šetřit ; obcovat, stýkat se, žít ; nakládat s kým, chovat se ke komu ; mít ; zastávat"
5052,utpote,"neboť, totiž, ježto, poněvadž, an ; jak možno"
5053,utrimque,"na obou stranách, z obou stran"
5054,uxor iusta,zákonná manželka
5055,uxor,manželka
5056,vacatio,"osvobození, zproštění"
5057,vaco,"být prázden, neobydlen, neosazen"
5058,vaco,"být prázden, pust, neobydlen"
5059,vaco,"být prázdný, být pustý, neobydlený ; být uprázdněný, volný ; být prost, zproštěn čeho, být svoboden od čeho, nemít co, být bez čeho, zdržovat se čeho, nezabývat se čím, mít prázdno od čeho, mít volno od čeho"
5060,vaco,"nebýt zaměstnán, nemít práci, nebýt zaneprázdněn, mít volno, mít kdy, mít čas ; oddávat se čemu, věnovat se čemu, zabývat se čím ; je možno, je dopřáno, může, mohlo by (mi být i hůř apod.) ; světit den odpočinku, odpočívat (v den odpočinku, neděli ; celé"
5061,vadum,brod
5062,vagor,"chodit, toulat se, bloudit"
5063,valde,"velmi, velice, tuze, silně	Pražák jen toto"
5064,valeo,"mít převahu, zavládat"
5065,valeo,"oplývat, mít převahu, zavládat"
5066,vallis,"údolí, úval, dolina"
5067,vallum,"ohrada, násep, val"
5068,vanitas,"jalovost, povrchnost, prázdnost ; nicotnost, prázdné zdání ; marnost, zbytečnost ; lehkomyslnost ; nepravdivost, lstivost, šalba, lest, prolhanost ; přelud, šalba, klam ; vychloubačnost, chlubičství, ješitnost ; pomíjivost, marnost	vypsáno i z kontextů ve Vg."
5069,vanus,"prázdný ; planý, jalový, nicotný"
5070,varietas ac dissensio f.,rozmanitost mínění	hendiadys
5071,Vasc? (Vascum,"Gaskoňsko (""Gallus Vasco"" in Ohler, Náb. poutě, 175 přel. ""Francouz z Gaskoňska"")"
5072,vasto,"pustošit, plenit"
5073,vaticinatio,"věštba, věštění"
5074,vaticinor,"věštit, prorokovat ; věštecky napomínat ; hlásat ; být ve vytržení ; blouznit"
5075,vectigal,"daň, poplatek"
5076,vectigal,"daň, poplatek, důchod"
5077,vehementer,"prudce, náhle, unáhleně, prchlivě ; rázně, rozhodně, důrazně, přísně ; úlisně, usilovně ; silně, mocně, tuze, náramně, velice, velmi	Pražák nic víc"
5078,vehementer,"silně, velmi, prudce"
5079,veho,"vést, dovážet, táhnout"
5080,vel,"(spojka rozlučovací ; uvádí rozluku možnou, ale ne vždy nutnou, takže má leckdy význam slučovací ; někdy poopravuje předešlou výpověď)"
5081,vel,ani (v záporných větách: non commedit vel bibit: nejí ani nepije ; TDH 315:12)
5082,vel,"buď ; nebo ; nikoli ; i, třeba i ; jako ; zvláště, zejména"
5083,vel,"buď ; nebo, či (rozlučovací) ; nikoli ; i, třeba i (vytýkající pojem, buď prostě, nebo s přípustkou a omezením ; třeba jen, již, aspoň ; chceš-li, snad, tuším, možná, zajisté ; jako, jako zvláště, jako zejména (uvádí příklad)"
5084,vel,nebo
5085,vel - vel,buď - anebo
5086,vel - vel,"buď - nebo, buď - anebo (spíše), i - i, jednak - jednak, dílem - dílem, jak - tak, ani (po záporu) ; i, třeba i (vytýká pojem buď prostě, nebo s přípustkou a omezením) ; snad, tuším, možná ; jako, zvláště, jako zvláště, zejména"
5087,vel - vel,jak -tak ; buď - anebo
5088,vel circa,nebo tak nějak (časté při udávání času v inkvizičních záznamech)
5089,vela cadunt,spouštějí se plachty
5090,velamen,"přikrývka, pokrývka ; rouška ; roucho, oděv, šat ; obal ; stažená kůže ; (přen.) obal (říci něco ""sine velamine"" RS 59:25)"
5091,velocitas,rychlost
5092,velox,"pohyblivý, rychlý, hbitý"
5093,velut,"jako, jakoby ; takřka, abych tak řekl ; například, jako například, jako, tak třeba"
5094,velut si,jako by
5095,venatio,"lov, hon"
5096,venator,lovec
5097,veneficium,"kouzelný nápoj ; kouzlo ; připravování jedu, otrávení, travičství ; připravování nápoje lásky či jiného lektvaru"
5098,venenatus,"očarovaný, kouzelný, napuštěný kouzelnou šťávou ; otrávený, napuštěný jedem ; jedovatý"
5099,veneno,"otrávit, napustit jedem ; uštknout"
5100,venenosus,"jedovatý, otrávený, plný jedu (i přen.)	DZ ex lat-gr ; Pražák ani Šenková nic"
5101,venenum,"jed ; otrava, otrávení, travičství ; otrava, nákaza ; nápoj lásky, kouzelný nápoj, kouzelná šťáva, lektvar ; kouzlo ; uměle připravená šťáva ; barvivo, barva"
5102,veneror,"uctívat, ctít ; ozdobit ; prokazovat ; klanět se ; modlit se, vzývat, prosit ; snažně prosit"
5103,venia,milost
5104,venia,"milost, milostivost, vděk, přízeň ; laskavost, vlídnost, shovívavost ; slitování ; dovolení, svolení (+ gen. k čemu) ; odpuštění, prominutí	Pražák celkem nic víc"
5105,venia,"úklona (katarský obřadní úkon, viz Thouz. Rit. 83)"
5106,venialis,"lehký (o hříchu), odpustitelný	Pražák nic"
5107,venialis,lehký hřích	RS 46:12 dvakrát
5108,venor,lovit
5109,venter,břicho
5110,ventilabrum,lopata
5111,ventito,"přicházet, chodit"
5112,ventito,"přicházet, chodívat"
5113,ventus,vítr
5114,verba precantia,"modlitba, prosba"
5115,verbero,"bičovat, šlehat, bít"
5116,verbi gratia,"kupříkladu, například, třebas"
5117,verbis,ústně
5118,verbum e verbo,"doslova, doslovně, slovo od slova"
5119,verbum,"slovo ; řeč ; výrok, slova ; říkadlo, zaklínadlo, formulka ; znění, text ; pouhé slovo, planá řeč, povídačka"
5120,vere,"pravdivě, podle pravdy, správně ; vpravdě, opravdu, vskutku ; pravdivě, upřímně, opravdově, poctivě"
5121,vere,skutečně
5122,verecundia,"bázeň ; skromnost, uměřenost"
5123,verecundia,"ostýchavost, mravní cit ; ohled na něco ; nesmělost ; zdrženlivost, uměřenost, skromnost ; mravnost, slušnost, počestnost, ctnost, cudnost, ostych ; stydlivost, stud ; bázeň, ošklivost, odpor"
5124,vereor,obávat se
5125,vergente autumno,(Tacitus)
5126,vergo,"chýlit se, nachylovat se ; klonit se, sklánět se, chýlit se, nachylovat se, obracet se, směřovat ;"
5127,vergo,"vybíhat (o výběžku) ; chýlit se ke konci, nachylovat se, být na sklonku ; táhnout se, rozprostírat se, rozkládat se ; nalévat, lít, vylévat ; vlévat se	Pražák ; MLLM nic"
